Name,Family,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. throws,Skills,Weaknesses,Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Features,Source
White Dragon Wyrmling,Dragon,Medium,dragon,chotic evil,16,32,"30 ft., burrow 15 ft., fly 60 ft., swim 30 ft.",14,10,14,5,10,11,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"blindsight 10 ft., darkvision 60 ft.",Draconic,2,Ice Walk,Monster Manual
Young White Dragon,Dragon,Large,dragon,chotic evil,14,133,"40 ft., burrow 20 ft., fly 80 ft., swim 40 ft.",18,10,18,6,11,12,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",6,Ice Walk,Monster Manual
Adult Brass Dragon,Dragon,Huge,dragon,chaotic good,18,172,"40 ft., burrow 30 ft., fly 80 ft.",23,10,21,14,13,17,"Dex, Con, Wis, Cha","History, Perception, Persuasion, Stealth",,,fire,,"blindsight 60 ft., darkvision 120, ft.","Common, Draconic",13,"Legendary, Legendary Resistance, Lair",Monster Manual
Ancient Brass Dragon,Dragon,Gargantuan,dragon,chaotic good,20,297,"40 ft., burrow 40 ft., fly 80 ft.",27,10,25,16,15,19,"Dex, Con, Wis, Cha","History, Perception, Persuasion, Stealth",,,fire,,"blindsight 60 ft., darkvision 120, ft.","Common, Draconic",20,"Legendary, Legendary Resistance, Lair",Monster Manual
Brass Dragon Wyrmling,Dragon,Medium,dragon,chaotic good,16,16,"30 ft., burrow 15 ft., fly 60 ft.",15,10,13,10,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",,,fire,,"blindsight 10 ft., darkvision 60 ft.",Draconic,1,,Monster Manual
Young Brass Dragon,Dragon,Large,dragon,chaotic good,17,110,"40 ft., burrow 20 ft., fly 80 ft.",19,10,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Persuasion, Stealth",,,fire,,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",6,,Monster Manual
Adult Bronze Dragon,Dragon,Huge,dragon,lawful good,19,212,"40 ft., fly 80 ft., swim 40 ft.",25,10,23,16,15,19,"Dex, Con, Wis, Cha","Insight, Perception, Stealth",,,lightning,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",15,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
Ancient Bronze Dragon,Dragon,Gargantuan,dragon,lawful good,22,444,"40 ft., fly 80 ft., swim 40 ft.",29,10,27,18,17,21,"Dex, Con, Wis, Cha","Insight, Perception, Stealth",,,lightning,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",22,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
Bronze Dragon Wyrmling,Dragon,Medium,dragon,lawful good,17,32,"30 ft., fly 60 ft., swim 30 ft.",17,10,15,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",,,lightning,,"blindsight 10 ft., darkvision 60 ft.",Draconic,2,Amphibious,Monster Manual
Young Bronze Dragon,Dragon,Large,dragon,lawful good,18,142,"40 ft., fly 80 ft., swim 40 ft.",21,10,19,14,13,17,"Dex, Con, Wis, Cha","Insight, Perception, Stealth",,,lightning,,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",8,Amphibious,Monster Manual
Adult Copper Dragon,Dragon,Huge,dragon,chaotic good,18,184,"40 ft., climb 40 ft., fly 80 ft.",23,12,21,18,15,17,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",,,acid,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",14,"Legendary Resistance, Legendary, Lair",Monster Manual
Ancient Copper Dragon,Dragon,Gargantuan,dragon,chaotic good,21,350,"40 ft., climb 40 ft., fly 80 ft.",27,12,25,20,17,19,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",,,acid,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",21,"Legendary Resistance, Legendary, Lair",Monster Manual
Copper Dragon Wyrmling,Dragon,Medium,dragon,chaotic good,16,22,"30 ft., climb 30 ft., fly 60 ft.",15,12,13,14,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",,,acid,,"blindsight 10 ft., darkvision 60 ft.",Draconic,1,,Monster Manual
Young Copper Dragon,Dragon,Large,dragon,chaotic good,17,119,"40 ft., climb 40 ft., fly 80 ft.",19,12,17,16,13,15,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",,,acid,,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",7,,Monster Manual
Adult Gold Dragon,Dragon,Huge,dragon,lawful good,19,256,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,"Dex, Con, Wis, Cha","Insight, Perception, Persuasion, Stealth",,,fire,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",17,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
Ancient Gold Dragon,Dragon,Gargantuan,dragon,lawful good,22,546,"40 ft., fly 80 ft., swim 40 ft.",30,14,29,18,17,28,"Dex, Con, Wis, Cha","Insight, Perception, Persuasion, Stealth",,,fire,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",24,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
Gold Dragon Wyrmling,Dragon,Medium,dragon,lawful good,17,60,"30 ft., fly 60 ft., swim 30 ft.",19,14,17,14,11,16,"Dex, Con, Wis, Cha","Perception, Stealth",,,fire,,"blindsight 10 ft., darkvision 60 ft.",Draconic,3,Amphibious,Monster Manual
Young Gold Dragon,Dragon,Large,dragon,lawful good,18,178,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,16,13,20,"Dex, Con, Wis, Cha","Insight, Perception, Persuasion, Stealth",,,fire,,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",10,Amphibious,Monster Manual
Adult Silver Dragon,Dragon,Huge,dragon,lawful good,19,243,"40 ft., fly 80 ft.",27,10,25,16,13,21,"Dex, Con, Wis, Cha","Arcana, History, Perception, Stealth",,,cold,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",16,"Legendary Resistance, Legendary, Lair",Monster Manual
Ancient Silver Dragon,Dragon,Gargantuan,dragon,lawful good,22,487,"40 ft., fly 80 ft.",30,10,29,18,15,23,"Dex, Con, Wis, Cha","Arcana, History, Perception, Stealth",,,cold,,"blindsight 60 ft., darkvision 120 ft.","Common, Draconic",23,"Legendary Resistance, Legendary, Lair",Monster Manual
Silver Dragon Wyrmling,Dragon,Medium,dragon,lawful good,17,45,"30 ft., fly 60 ft.",19,10,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"blindsight 10 ft., darkvision 60 ft.",Draconic,2,,Monster Manual
Young Silver Dragon,Dragon,Large,dragon,lawful good,18,168,"40 ft., fly 80 ft.",23,10,21,14,11,19,"Dex, Con, Wis, Cha","Arcana, History, Perception, Stealth",,,cold,,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",9,,Monster Manual
Dragon Turtle,Dragon,Gargantuan,dragon,neutral,20,341,"20 ft., swim 40 ft.",25,10,20,10,12,12,"Dex, Con, Wis",,,fire,,,darkvision 120 ft.,"Aquan, Draconic",17,Amphibious,Monster Manual
Dragonclaw,,Medium,humanoid (human),neutral evil,14,16,30 ft.,9,16,13,11,10,12,Wis,"Deception, Stealth",,,,,,"Common, Draconic",1,"Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen
Dragonfang,,Medium,humanoid (human),neutral evil,15,78,30 ft.,11,16,14,12,12,14,Wis,"Deception, Stealth",,"acid, cold, fire, lightning, poison",,,,"Common, Draconic, Infernal",5,"Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics",Rise of Tiamat
Dragonsoul,,Medium,humanoid (human),neutral evil,16,110,30 ft.,11,18,14,13,12,16,Wis,"Deception, Stealth",,"acid, cold, fire, lightning, poison",,,,"Common, Draconic, Infernal",7,"Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics",Rise of Tiamat
Dragonwing,,Medium,humanoid (human),neutral evil,14,32,30 ft.,9,16,13,11,10,12,Wis,"Deception, Stealth",,,,,,"Common, Draconic",2,"Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen
Dread Warrior,,Medium,undead,neutral evil,18,37,30 ft.,15,11,16,10,12,10,Wis,"Athletics, Perception",,,poison,"exhaustion, poisoned",darkvision 60 ft.,Common,1,Undead Fortitude,Tales from the Yawning Portal
Drider,,Large,monstrosity,chotic evil,19,123,"30 ft., climb 30 ft.",16,16,18,13,14,12,,"Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",6,"Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker",Monster Manual
Drow,,Medium,humanoid,neutral evil,15,13,30 ft.,10,14,10,11,11,12,,"Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",4-Jan,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Arachnomancer,,Medium,humanoid (elf),chotic evil,15,162,"30 ft., climb 30 ft.",11,17,14,19,14,16,"Con, Int, Cha","Arcana, Nature, Perception, Stealth",,poison,,,"blindsight 10 ft., darkvision 120 ft.","Elvish, Undercommon, spiders",13,"Change Shape, Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Spider Climb, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Elite Warrior,,Medium,humanoid,neutral evil,18,71,30 ft.,13,18,14,11,13,12,"Dex, Con, Wis","Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",5,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Favored Consort,,Medium,humanoid (elf),neutral evil,15,225,30 ft.,15,20,16,18,15,18,"Dex, Con, Cha","Acrobatics, Athletics, Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",18,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity, War Magic",Mordenkainen's Tome of Foes
Drow House Captain,,Medium,humanoid (elf),neutral evil,16,162,30 ft.,14,19,15,12,14,13,"Dex, Con, Wis","Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",9,"Battle Command, Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Inquisitor,,Medium,humanoid (elf),neutral evil,16,143,30 ft.,11,15,14,16,21,20,"Con, Wis, Cha","Insight, Perception, Religion, Stealth",,,,frightened,darkvision 120 ft.,"Elivhs, Undercommon",14,"Discern Lie, Fey Ancestry, Innate Spellcasting, Magic Resistance, Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Mage,,Medium,humanoid,neutral evil,12,45,30 ft.,9,14,10,17,13,12,,"Arcana, Deception, Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",7,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Matron Mother,,Medium,humanoid (elf),neutral evil,17,262,30 ft.,12,18,16,17,21,22,"Con, Wis, Cha","Insight, Perception, Religion, Stealth",,,,"charmed, frightened, poisoned",darkvision 120 ft.,"Elvish, Undercommon",20,"Fey Ancestry, Innate Spellcasting, Lolth's Fickle Favor, Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Priestess of Lolth,,Medium,humanoid,neutral evil,16,71,30 ft.,10,14,12,13,17,18,"Con, Wis, Cha","Insight, Perception, Religion, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",8,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Shadowblade,,Medium,humanoid (elf),neutral evil,17,150,30 ft.,14,21,16,12,14,13,"Dex, Con, Wis","Perception, Stealth",,,,,darkvision 120 ft.,"Elvish, Undercommon",11,"Fey Ancestry, Innate Spellcasting, Shadow Step, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Dryad,,Medium,fey,neutral,11,22,30 ft.,1,12,11,14,15,18,,"Perception, Stealth",,,,,darkvision 60 ft.,"Elvish, Sylvan",1,"Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride",Monster Manual
Duergar,,Medium,humanoid,lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",1,"Duergar Resilience, Sunlight Sensitivity",Monster Manual
Duergar Darkhaft,,Medium,humanoid (dwarf),lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",2,"Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)",Out of the Abyss
Duergar Despot,,Medium,humanoid (dwarf),lawful evil,21,119,25 ft.,20,5,19,15,14,13,"Con, Wis",,,,poison,"charmed, exhaustion, frightened, paralyzed, poisoned",darkvision 120 ft.,"Dwarvish, Undercommon",12,"Innate Spellcasting, Magic Resistance, Psychic Engine, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Hammerer,,Medium,humanoid (dwarf),lawful evil,17,33,20 ft.,17,7,12,5,5,5,,,,,poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Dwarvish,2,"Engine of Pain, Siege Monster",Mordenkainen's Tome of Foes
Duergar Kavalrachni,,Medium,humanoid (dwarf),lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",2,"Cavalry Training, Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Keeper of the Flame,,Medium,humanoid (dwarf),lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",2,"Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting",Out of the Abyss
Duergar Mind Master,,Medium,humanoid (dwarf),lawful evil,14,39,25 ft.,11,17,14,15,10,12,Wis,"Perception, Stealth",,poison,,,"darkvision 120 ft., truesight 30 ft.","Dwarvish, Undercommon",2,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Screamer,,Medium,construct,lawful evil,15,38,20 ft.,18,7,12,5,5,5,,,,,poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Dwarvish,3,Engine of Pain,Mordenkainen's Tome of Foes
Duergar Soulblade,,Medium,humanoid (dwarf),lawful evil,14,18,25 ft.,11,16,10,11,10,12,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",1,"Duergar Resilience, Create Soulblade, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Spy,,Medium,humanoid (dwarf),lawful evil,15,33,25 ft.,10,16,12,12,10,13,,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",2,"Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity",Tales from the Yawning Portal
Duergar Stone Guard,,Medium,humanoid (dwarf),lawful evil,18,39,25 ft.,18,11,14,11,10,9,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",2,"Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Warlord,,Medium,humanoid (dwarf),lawful evil,20,75,25 ft.,18,11,17,12,12,14,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",6,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Xarrorn,,Medium,humanoid (dwarf),lawful evil,18,26,25 ft.,16,11,14,11,10,9,,,,poison,,,darkvision 120 ft.,"Dwarvish, Undercommon",2,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Eblis,,Large,monstrosity,neutral evil,13,26,"30 ft., fly 40 ft.",11,16,12,12,14,11,,,,,,,,"Auran, Common",1,Innate Spellcasting,Tomb of Annihilation
Eidolon,,Medium,undead,ANY,9,63,fly 40 ft.,7,8,9,14,19,16,Wis,Perception,,"acid, fire, lightning, thunder, nonmagical","cold, necrotic, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",darkvision 60 ft.,Any,12,"Incorporeal Movement, Sacred Animation, Turn Resistance",Mordenkainen's Tome of Foes
Sacred Statue,Eidolon,Large,construct,ANY,19,95,25 ft.,19,8,19,14,19,16,Wis,,,"acid, fire, lightning, nonmagical","cold, necrotic, poison","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Any,12,"False Appearance, Ghostly Inhabitant, Inert",Mordenkainen's Tome of Foes
Autumn Eladrin,Eladrin,Medium,fey,chaotic neutral,19,127,30 ft.,12,16,16,14,17,18,,"Insight, Medicine",,nonmagical,,,darkvision 60 ft.,"Common, Elvish, Sylvan",10,"Enchanting Presence, Fey Step, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes
Spring Eladrin,Eladrin,Medium,fey,chaotic neutral,19,127,30 ft.,14,16,16,18,11,18,,"Deception, Persuasion",,nonmagical,,,darkvision 60 ft.,"Common, Elvish, Sylvan",10,"Fey Step, Innate Spellcasting, Joyful Presence, Magic Resistance",Mordenkainen's Tome of Foes
Summer Eladrin,Eladrin,Medium,fey,chaotic neutral,19,127,50 ft.,19,21,16,14,12,18,,"Athletics, Intimidation",,nonmagical,,,darkvision 60 ft.,"Common, Elvish, Sylvan",10,"Fearsome Presence, Fey Step, Magic Resistance",Mordenkainen's Tome of Foes
Winter Eladrin,Eladrin,Medium,fey,chaotic neutral,19,127,30 ft.,11,10,16,18,17,13,,,,"cold, nonmagical",,,darkvision 60 ft.,"Common, Elvish, Sylvan",10,"Fey Step, Innate Spellcasting, Magic Resistance, Sorrowful Presence",Mordenkainen's Tome of Foes
Elder Tempest,Elder Elemental,Gargantuan,elemental,neutral,19,264,fly 120 ft.,23,28,23,2,21,18,"Wis, Cha",,,nonmagical,"lightning, poison, thunder","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned",darkvision 60 ft.,,23,"Air Form, Flyby, Legendary, Living Storm, Siege Monster",Mordenkainen's Tome of Foes
Leviathan,Elder Elemental,Gargantuan,elemental,neutral,17,328,"40 ft., swim 120 ft.",30,24,30,2,18,17,"Wis, Cha",,,nonmagical,"acid, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned",darkvision 60 ft.,,20,"Legendary, Partial Freeze, Siege Monster, Water Form",Mordenkainen's Tome of Foes
Phoenix,Elder Elemental,Gargantuan,elemental,neutral,18,175,"20 ft., fly 120 ft.",19,26,25,2,21,18,"Wis, Cha",,,nonmagical,"fire, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned",darkvision 60 ft.,,16,"Fiery Death and Rebirth, Fire Form, Flyby, Illumination, Legendary, Siege Monster",Mordenkainen's Tome of Foes
Zaratan,Elder Elemental,Gargantuan,elemental,neutral,21,307,"40 ft., swim 40 ft.",30,10,30,2,21,18,"Wis, Cha",,thunder,"cold, fire, lightning, nonmagical",poison,"exhaustion, paralyzed, petrified, poisoned, stunned","darkvision 60 ft., tremorsense 60 ft.",,22,"Earth-Shaking Movement, Legendary, Magic Weapons, Siege Monster",Mordenkainen's Tome of Foes
Air Elemental Myrmidon,Elemental Myrmidon,Medium,elemental,neutral,18,117,"30 ft., fly 30 ft.",18,14,14,9,10,10,,,,"lightning, thunder, nonmagical",poison,"paralyzed, petrified, poisoned, prone",darkvision 60 ft.,"Auran, Any",7,Magic Weapons,Mordenkainen's Tome of Foes
Earth Elemental Myrmidon,Elemental Myrmidon,Medium,elemental,neutral,18,127,30 ft.,18,10,17,8,10,10,,,,nonmagical,poison,"paralyzed, petrified, poisoned, prone",darkvision 60 ft.,"Terran, Any",7,Magic Weapons,Mordenkainen's Tome of Foes
Fire Elemental Myrmidon,Elemental Myrmidon,Medium,elemental,neutral,18,123,40 ft.,13,18,15,9,10,10,,,,nonmagical,"fire, poison","paralyzed, petrified, poisoned, prone",darkvision 60 ft.,"Ignan, Any",7,"Illumination, Magic Weapons, Water Susceptibility",Mordenkainen's Tome of Foes
Water Elemental Myrmidon,Elemental Myrmidon,Medium,elemental,neutral,18,127,"40 ft., swim 40 ft.",18,14,15,8,10,10,,,,"acid, nonmagical",poison,"paralyzed, petrified, poisoned, prone",darkvision 60 ft.,"Aquan, Any",7,Magic Weapons,Mordenkainen's Tome of Foes
Air Elemental,Elemental,Large,elemental,neutral,15,90,fly 90 ft.,14,20,14,6,10,6,,,,"lightning, thunder, nonmagical",poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",darkvision 60 ft.,Auran,5,Air Form,Monster Manual
Earth Elemental,Elemental,Large,elemental,neutral,17,126,"30 ft., burrow 30 ft.",20,8,20,5,10,5,,,thunder,nonmagical,poison,"exhaustion, paralyzed, petrified, poisoned, unconscious","darkvision 60 ft., tremorsense 60 ft.",Terran,5,"Earth Glide, Siege Monster",Monster Manual
Fire Elemental,Elemental,large,elemental,neutral,13,102,50 ft.,10,17,16,6,10,7,,,,nonmagical,"fire, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",darkvision 60 ft.,Ignan,5,"Fire Form, Illumination, Water Susceptibility",Monster Manual
Water Elemental,Elemental,Large,elemental,neutral,14,114,"30 ft., swim 90 ft.",18,14,18,5,10,8,,,,"acid, nonmagical",poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",darkvision 60 ft.,Aquan,5,"Water Form, Freeze",Monster Manual
Empyrean,,Huge,celestial,chaotic good OR neutral evil,22,313,"50 ft., fly 50 ft., swim 50 ft.",30,21,30,21,22,27,"Str, Int, Wis, Cha","Insight, Persuasion",,,nonmagical,,truesight 120 ft.,All,23,"Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons",Monster Manual
Eternal Flame Guardian,,Medium,humanoid (human),chotic evil,17,45,30 ft.,15,13,14,8,11,13,,"Intimidation, Perception",,fire,,,,Common,2,Flaming Weapon,Princes of the Apocalypse
Eternal Flame Priest,,Medium,humanoid (human),neutral evil,12,52,30 ft.,12,15,14,10,11,16,,"Deception, Intimidation, Religion",,fire,,,,"Common, Ignan",3,Normal Spellcasting,Princes of the Apocalypse
Flamewrath,Eternal Flame,Medium,humanoid (human),chotic evil,12,105,30 ft.,10,14,16,11,10,16,,"Arcana, Religion",,,fire,,,"Common, Ignan",6,"Normal Spellcasting, Wreathed in Flame",Princes of the Apocalypse
Razerblast,Eternal Flame,Medium,humanoid (human),chotic evil,17,112,30 ft.,16,11,16,9,10,13,,"Intimidation, Perception",,,fire,,,"Common, Ignan",5,"Searing Armor, Shrapnel Explosion",Princes of the Apocalypse
Ettercap,,Medium,monstrosity,neutral evil,13,44,"30 ft., climb 30 ft.",14,15,13,7,12,8,,"Perception, Stealth, Survival",,,,,darkvision 60 ft.,,2,"Spider Climb, Web Sense, Web Walker",Monster Manual
Ettin,,large,giant,chotic evil,12,85,40' ft.,21,8,17,6,10,8,,Perception,,,,,darkvision 60 ft.,"Giant, Orc",4,"Two Heads, Wakeful",Monster Manual
Faerie Dragon,,Tiny,dragon,chaotic good,15,14,"10 ft., fly 60 ft.",3,20,13,14,12,16,,"Arcana, Perception, Stealth",,,,,darkvision 60 ft.,"Draconic, Sylvan",1,"Superior Invisibility, Limited Telepathy, Magic Resistance, Innate Spellcasting",Monster Manual
Firenewt Warlock of Imix,,Medium,humanoid (firenewt),neutral evil,10,33,30 ft.,13,11,12,9,11,14,,,,,fire,,darkvision 120 ft.,"Draconic, Ignan",1,"Amphibious, Innate Spellcasting, Normal Spellcasting, Imix's Blessing",Volo's Guide to Monsters
Firenewt Warrior,,Medium,humanoid (firenewt),neutral evil,16,22,30 ft.,10,13,12,7,11,8,,,,,fire,,,"Draconic, Ignan",2-Jan,Amphibious,Volo's Guide to Monsters
Flail Snail,,Large,elemental,unaligned,16,52,10 ft.,17,5,20,3,10,5,,,,,"fire, poison",poisoned,"darkvision 60 ft., tremorsense 60 ft.",,3,"Antimagic Shell, Flail Tentacles",Volo's Guide to Monsters
Flameskull,,Tiny,undead,neutral evil,13,40,fly 40 ft.,1,17,14,16,10,11,,"Arcana, Perception",,"lightning, necrotic, piercing","cold, fire, poison","charmed, frightened, paralyzed, poisoned",darkvision 60 ft.,Common,4,"Illumination, Magic Resistance, Rejuvenation, Normal Spellcasting",Monster Manual
Flumph,,Small,aberration,lawful good,12,7,"5 ft., fly 30 ft.",6,15,10,14,14,11,,"Arcana, History, Religion",psychic,,,,darkvision 60 ft.,"Undercommon, telepathy 60",8-Jan,"Advanced Telepathy, Prone Deficiency, Telepathic Shroud",Monster Manual
Flying Monkey,,Small,beast,unaligned,12,3,"20 ft., climb 20 ft., fly 30 ft.",8,14,11,5,12,6,,,,,,,,,0,Pack Tactics,Tomb of Annihilation
Fomorian,,Huge,giant,chotic evil,14,149,30 ft.,23,10,20,9,14,6,,"Perception, Stealth",,,,,darkvision 120 ft.,"Giant, Undercommon",8,,Monster Manual
Froghemoth,,Huge,monstrosity,unaligned,14,184,"30 ft., swim 30 ft.",23,13,20,2,12,5,"Con, Wis","Perception, Stealth",,"fire, lightning",,,darkvision 60 ft.,,10,"Amphibious, Shock SUsceptibility",Volo's Guide to Monsters
Gas Spore,Fungus,Large,plant,unaligned,5,1,fly 10 ft.,5,1,3,1,1,1,,,,,poison,"blinded, deafened, frightened, paralyzed, poisoned, prone",blindsight 30 ft.,,2-Jan,"Death Burst, Eerie Resemblance",Monster Manual
Shrieker,Fungus,Medium,plant,unaligned,5,13,ft.,1,1,10,1,10,3,,,,,,"blinded, deafened, frightened",blindsight 30 ft.,,0,False Appearance,Monster Manual
Violet,Fungus,Medium,plant,unaligned,5,18,5 ft.,3,1,10,1,3,1,,,,,,"blinded, deafened, frightened",blindsight 30 ft.,,4-Jan,False Appearance,Monster Manual
Galeb Duhr,,Medium,elemental,neutral,16,85,"15 ft., rolling ft.",20,14,20,11,12,11,,,,nonmagical,poison,"exhaustion, paralyzed, poisoned, petrified","darkvision 60 ft., tremorsense 60 ft.",Terran,6,"False Appearance, Rolling Charge",Monster Manual
Gargoyle,,Medium,elemental,chotic evil,15,52,"30 ft., fly 60 ft.",15,11,16,6,11,7,,,,nonadamantine,poison,"exhaustion, petrified, poisoned",darkvision 60 ft.,Terran,2,False Appearance,Monster Manual
Giant Four-Armed Gargoyle,Gargoyle,Large,elemental,chotic evil,17,147,"30 ft., fly 60 ft.",19,11,20,6,11,9,Wis,Perception,,"nonmagical, nonadamantine",poison,"exhaustion, petrified, poisoned",darkvision 60 ft.,Terran,10,False Appearance,Tomb of Annihilation
Dao,Genie,Large,elemental,neutral evil,18,187,"30 ft., burrow 30 ft., fly 30 ft.",23,12,24,12,13,14,"Int, Wis, Cha",,,,,petrified,darkvision 120 ft.,Terran,11,"Earth Glide, Elemental Demise, Innate Spellcasting, Sure-Footed",Monster Manual
Djinni,Genie,Large,elemental,chaotic good,17,161,"30 ft., fly 90 ft.",21,15,22,15,16,20,"Dex, Wis, Cha",,,,"lightning, thunder",,darkvision 120 ft.,Auran,11,"Elemental Demise, Innate Spellcasting",Monster Manual
Efreeti,Genie,Large,elemental,lawful evil,17,200,"40 ft., fly 60 ft.",22,12,24,16,15,16,"Int, Wis, Cha",,,,fire,,darkvision 120 ft.,Ignan,11,"Elemental Demise, Innate Spellcasting",Monster Manual
